"","Nanny State","Hefe-Weissbier Alkoholfrei","Baltika #0 Non-Alcoholic","St. Pauli N. A.","Reserva 1925","Estrella Galicia Especial","Cruzcampo Gran Reserva","San Miguel Selecta","Guinness Draught","Guinness Extra Stout (Original)","Murphy's Irish Stout","Guinness Original","Hefeweizen","Franziskaner Hefe-Weisse","Hefe-Weissbier Naturtrüb","Erdinger Weissbier (Hefe-Weizen)","Torpedo Extra IPA","Hop Nosh IPA","Deviant Dale's IPA","90 Minute IPA"
"Nanny State",0,18,18,16,14,12,19,18,17,12,16,14,13,16,14,15,6,4,2,12
"Hefe-Weissbier Alkoholfrei",18,0,2,6,9,14,3,2,6,15,12,11,8,6,7,4,16,16,18,9
"Baltika #0 Non-Alcoholic",18,2,0,2,5,11,2,2,3,13,10,8,10,8,8,5,14,15,17,5
"St. Pauli N. A.",16,6,2,0,2,6,4,4,4,10,10,6,12,10,10,6,11,14,15,6
"Reserva 1925",14,9,5,2,0,3,10,8,6,6,8,2,13,12,8,8,10,12,14,6
"Estrella Galicia Especial",12,14,11,6,3,0,14,13,11,5,10,6,17,16,12,13,4,6,6,4
"Cruzcampo Gran Reserva",19,3,2,4,10,14,0,1,4,16,12,11,14,10,13,8,16,18,18,11
"San Miguel Selecta",18,2,2,4,8,13,1,0,6,15,13,10,12,9,12,8,18,17,18,10
"Guinness Draught",17,6,3,4,6,11,4,6,0,8,6,2,13,12,10,8,12,16,16,10
"Guinness Extra Stout (Original)",12,15,13,10,6,5,16,15,8,0,2,3,17,18,9,13,12,14,8,12
"Murphy's Irish Stout",16,12,10,10,8,10,12,13,6,2,0,1,18,16,8,12,16,18,14,14
"Guinness Original",14,11,8,6,2,6,11,10,2,3,1,0,15,14,7,11,10,13,12,10
"Hefeweizen",13,8,10,12,13,17,14,12,13,17,18,15,0,2,2,4,14,8,12,10
"Franziskaner Hefe-Weisse",16,6,8,10,12,16,10,9,12,18,16,14,2,0,3,2,14,12,16,10
"Hefe-Weissbier Naturtrüb",14,7,8,10,8,12,13,12,10,9,8,7,2,3,0,1,14,12,13,10
"Erdinger Weissbier (Hefe-Weizen)",15,4,5,6,8,13,8,8,8,13,12,11,4,2,1,0,13,10,14,7
"Torpedo Extra IPA",6,16,14,11,10,4,16,18,12,12,16,10,14,14,14,13,0,1,2,3
"Hop Nosh IPA",4,16,15,14,12,6,18,17,16,14,18,13,8,12,12,10,1,0,2,2
"Deviant Dale's IPA",2,18,17,15,14,6,18,18,16,8,14,12,12,16,13,14,2,2,0,10
"90 Minute IPA",12,9,5,6,6,4,11,10,10,12,14,10,10,10,10,7,3,2,10,0
