Name,Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Nanny State,Low Alcohol Beer,BrewDog,BrewDog Nanny State,"Notes:0.5% or 1.1% ABVNO ALCOHOL. NO COMPROMISE.If you think low alcohol equals low taste, think again. We made a hardcore beer and left the alcohol out. Nanny State breaks the curfew and slips under the radar. A brigade of speciality malts and North American hops sends bitterness to the brink and back. Squeezing this many hops in, and the alcohol out, is a testament to our craft.Nanny State - no compromise, no surrender, no alcohol.MALTS: Amber, Chocolate, Crystal, Dark Crystal, Munich, Rye, Wheat, CaramaltHOPS: Ahtanum, Amarillo, Cascade, Centennial, Columbus, Simcoe50 IBU\t",0.5,10,20,20,43,37,118,48,57,2,89,146,15,89
Hefe-Weissbier Alkoholfrei,Low Alcohol Beer,Paulaner Brauerei GmbH & Co. KG,Paulaner Brauerei GmbH & Co. KG Paulaner Hefe-Weissbier Alkoholfrei,Notes:,0.55,10,20,8,17,11,6,8,17,0,25,7,2,28
Baltika #0 Non-Alcoholic,Low Alcohol Beer,Baltika Breweries,Baltika Breweries Baltika #0 Non-Alcoholic,Notes:,0.5,10,20,4,17,14,16,22,10,0,13,19,1,32
St. Pauli N. A.,Low Alcohol Beer,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co. St. Pauli N. A.,Notes:,0.5,10,20,17,19,18,16,16,7,4,2,34,4,50
Reserva 1925,Lager,"Grupo Cervezas Alhambra, SL","Grupo Cervezas Alhambra, SL Reserva 1925",Notes:,6.4,15,40,21,33,22,22,41,6,0,4,34,5,68
Estrella Galicia Especial,Lager,"Hijos De Rivera, S.A.","Hijos De Rivera, S.A. Estrella Galicia","Notes:Nace en 1972 como la Especial Rivera. Pronto se convirtió en la cerveza más representativa de la Compañía. Elaborada a partir de un mosto específico, en el único centro de producción de Hijos de Rivera, en A Coruña. Los Maestros Cerveceros emplean en su fabricación aproximadamente un mes de trabajo, el 50% del cual se dedica a su guarda en frío. Cerveza dorada y brillante. Excelente balance aromático entre las maltas y lúpulos. En boca ligeramente floral y herbal, de calidez moderada y con una intensa y prolongada sensación lupulada.Born in 1972 as “Especial Rivera”, it would soon become Company’s most representative beer. Brewed by Hijos de Rivera’s Brewmasters in the only Company’s brewery placed in A Coruña. It takes a whole month to be brewed, half of it inside the maturing tanks. Golden color. Clean and bright. Excellent aromatic balance between malts and hops. Lightly floral and herbal flavors, with a moderate warm mouthfeel, and an intense hoppy bitter taste that lingers in the mouth.\t",5.5,18,25,25,30,7,48,22,14,4,6,81,6,85
Cruzcampo Gran Reserva,Lager,Grupo Cruzcampo SA,Grupo Cruzcampo SA Cruzcampo Gran Reserve,Notes:100% Malt.\t,6.4,15,40,1,12,16,11,8,1,0,1,14,0,18
San Miguel Selecta,Lager,San Miguel Fabricas De Cervaza Y Maltas S.A.,San Miguel Fabricas De Cervaza Y Maltas S.A. San Miguel Selecta,Notes:,6.2,15,40,2,6,7,11,13,2,0,2,12,1,23
Guinness Draught,Stout,Guinness Ltd.,Guinness Ltd. Guinness Draught,Notes:,4.2,30,40,12,52,5,30,13,3,0,6,18,1,36
Guinness Extra Stout (Original),Stout,Guinness Ltd.,Guinness Ltd. Guinness Extra Stout (Original),Notes:Aroma: Medium and balanced. A roast character with subtle fermentation fruitinessFlavor: A perfect rounded flavor of bitter and sweetPalate: Smooth with a slight bite leading to a dry finishAppearance: Distinctively black full bodied liquid with a rich creamy head\t,5.6,30,40,29,80,12,59,50,15,0,9,34,4,96
Murphy's Irish Stout,Stout,Murphy Brewery Ireland Limited,Murphy Brewery Ireland Limited Murphy's Irish Stout,"Notes:Murphy’s is an internationally recognized Irish stout, brewed since 1856 in the iconic Lady’s Well Brewery, Cork.Classified as an Irish Dry Stout, Murphy’s is dark in color and medium-bodied. It is silky smooth with toffee & coffee undertones, almost no bitterness, and a irresistible creamy finish.\t",4,30,40,15,98,9,36,38,5,0,3,18,4,76
Guinness Original,Stout,Guinness Ltd.,Guinness Ltd. Guinness Original,Notes:,5,30,40,16,65,6,45,32,7,0,4,26,4,66
Hefeweizen,Wheat Beer,Flying Dog Brewery,Flying Dog Brewery Imperial Hefeweizen,Notes:Formerly In-Heat Wheat\t,4.7,10,15,12,29,14,9,26,59,2,83,22,44,52
Franziskaner Hefe-Weisse,Wheat Beer,Spaten-Franziskaner-Bräu,Spaten-Franziskaner-Bräu Franziskaner Hefe-Weisse,Notes:Also known as Franziskaner Weissbier and Franziskaner Hefe-Weisse Hell.\t,5,10,15,20,23,16,6,20,36,0,77,11,25,32
Hefe-Weissbier Naturtrüb,Wheat Beer,Paulaner Brauerei GmbH & Co. KG,Paulaner Brauerei GmbH & Co. KG Paulaner Hefe-Weissbier Naturtrüb,"Notes:Marketed as ""Weissbier"" internationally.\t",5.5,10,15,10,47,5,10,24,30,1,53,20,32,71
Erdinger Weissbier (Hefe-Weizen),Wheat Beer,Erdinger Weissbräu,Erdinger Weissbräu Erdinger Weissbier,"Notes:Every sip leaves you wanting more – our ERDINGER Weissbier with fine yeast is the crowning glory of traditional Bavarian brewing skills.The strength of this classic wheat beer lies in the harmonious balance it achieves between the various aromas. Gently spicy wheat and yeast aromas blend with mildly bitter hops. The invigorating carbon dioxide ensures its typical liveliness. A premium beer whose full-bodied yet elegant character leaves a lasting impression of ultimate Bavarian enjoyment. A truly unique wheat beer!ERDINGER Weissbräu allows its top-fermenting specialty to mature in the bottle in the traditional manner, just like champagne. This wheat beer from Erding offers more than just sparkling refreshment – it gives a true taste of Bavaria.\t",5.3,10,15,17,26,5,8,20,31,1,43,16,24,45
Torpedo Extra IPA,IPA,Sierra Nevada Brewing Co.,Sierra Nevada Brewing Co. Sierra Nevada Torpedo Extra IPA,"Notes:From the brewery ... Sierra Nevada Torpedo Ale is a big American IPA; bold, assertive and full of flavor and aromas highlighting the complex citrus, pine and herbal character of whole-cone American hops.\t",7.2,50,70,10,44,11,57,31,37,0,43,107,6,38
Hop Nosh IPA,IPA,Uinta Brewing Company,Uinta Brewing Company Hop Notch IPA,"Notes:Bold and refreshing, this IPA combines an abundance of hops with a smooth malt profile.82 IBU\t",7.3,50,70,8,25,5,68,42,38,0,64,92,5,45
Deviant Dale's IPA,IPA,Oskar Blues Grill & Brew,Oskar Blues Grill & Brew Deviant Dale's IPA,Notes:,8,50,70,12,48,10,71,44,48,0,55,110,14,75
90 Minute IPA,IPA,Dogfish Head Brewery,Dogfish Head Brewery 90 Minute IPA,"Notes:Esquire Magazine calls our 90 Minute IPA ""perhaps the best IPA in America."" An imperial IPA best savored from a snifter, 90 Minute has a great malt backbone that stands up to the extreme hopping rate.90 Minute IPA was the first beer we continuously hopped, allowing for a pungent -- but not crushing -- hop flavor.90 IBU\t",9,65,100,3,15,13,44,40,31,1,36,56,5,42
